x_um	field_Hz
3.169089999999999918e+02	1.000000000000000000e+00
3.179279999999999973e+02	1.000000000000000000e+00
3.189470000000000027e+02	1.000000000000000000e+00
3.199659999999999513e+02	1.000000000000000000e+00
3.209849999999999568e+02	1.000000000000000000e+00
3.220039999999999623e+02	1.000000000000000000e+00
3.230229999999999677e+02	1.000000000000000000e+00
3.240419999999999732e+02	1.000000000000000000e+00
3.250609999999999786e+02	1.000000000000000000e+00
3.260799999999999841e+02	1.000000000000000000e+00
3.270989999999999895e+02	1.000000000000000000e+00
3.281179999999999382e+02	1.000000000000000000e+00
3.291369999999999436e+02	1.000000000000000000e+00
3.301559999999999491e+02	1.000000000000000000e+00
3.311749999999999545e+02	1.000000000000000000e+00
3.321939999999999600e+02	1.000000000000000000e+00
3.332129999999999654e+02	1.000000000000000000e+00
3.342319999999999709e+02	1.000000000000000000e+00
3.352509999999999764e+02	1.000000000000000000e+00
3.362699999999999250e+02	1.000000000000000000e+00
3.372889999999999304e+02	1.000000000000000000e+00
3.383079999999999359e+02	1.000000000000000000e+00
3.393269999999999413e+02	1.000000000000000000e+00
3.403459999999999468e+02	1.000000000000000000e+00
3.413649999999999523e+02	1.000000000000000000e+00
3.423839999999999577e+02	1.000000000000000000e+00
3.434030000000000200e+02	1.000000000000000000e+00
3.444219999999999686e+02	1.000000000000000000e+00
3.454409999999999741e+02	1.000000000000000000e+00
3.464599999999999795e+02	1.000000000000000000e+00
3.474789999999999850e+02	1.000000000000000000e+00
3.484979999999999905e+02	1.000000000000000000e+00
3.495169999999999959e+02	1.000000000000000000e+00
3.505360000000000014e+02	1.000000000000000000e+00
3.515549999999999500e+02	1.000000000000000000e+00
3.525739999999999554e+02	1.000000000000000000e+00
3.535929999999999609e+02	1.000000000000000000e+00
3.546119999999999663e+02	1.000000000000000000e+00
3.556309999999999718e+02	1.000000000000000000e+00
3.566499999999999773e+02	1.000000000000000000e+00
3.576689999999999827e+02	1.000000000000000000e+00
3.586879999999999882e+02	1.000000000000000000e+00
3.597069999999999368e+02	1.000000000000000000e+00
3.607259999999999422e+02	1.000000000000000000e+00
3.617449999999999477e+02	1.000000000000000000e+00
3.627639999999999532e+02	1.000000000000000000e+00
3.637829999999999586e+02	1.000000000000000000e+00
3.648019999999999641e+02	1.000000000000000000e+00
3.658209999999999695e+02	1.000000000000000000e+00
3.668399999999999750e+02	1.000000000000000000e+00
3.678589999999999236e+02	1.000000000000000000e+00
3.688779999999999291e+02	1.000000000000000000e+00
3.698969999999999345e+02	1.000000000000000000e+00
3.709159999999999400e+02	1.000000000000000000e+00
3.719349999999999454e+02	1.000000000000000000e+00
