sample_idx,rel_param_dist,mae_counts_per_shot,rmse_counts_per_shot,flip_rate,total_shift_vs_baseline,total_defects,corrected_total,rejected_total,param__gaussian_sigma,param__derivative_threshold,param__derivative_threshold_pos,param__derivative_threshold_neg,param__peak_step_filter_enabled,param__peak_step_filter_window_px,param__peak_step_filter_min_abs_delta_m,param__min_same_sign_peak_distance_um,param__zero_crossing_min_distance_um,param__defect_position_hist_half_window_um
113,0.2522919484397399,0.8888888888888888,1.6777409856157222,0.4074074074074074,14,463,43,75,0.19311797583527587,0.0,0.058497193225409506,-0.026668520541562893,True,2,0.10612771618915612,6.848378575987867,2.8176016400403165,4.0
272,0.1769117960972992,0.8888888888888888,1.4142135623730951,0.48148148148148145,-14,435,30,18,0.22952467431615337,0.0,0.0587983439017538,-0.044833503794816626,True,4,0.0906061413600692,5.996534731129502,3.676281836663659,4.0
99,0.17326922320885804,0.8888888888888888,1.46565621758588,0.48148148148148145,18,467,28,49,0.2595293692652486,0.0,0.04181671690823315,-0.04219384918266921,True,3,0.1103838903904057,7.7256475802387605,2.72787562076039,4.0
46,0.16812374891402787,0.8888888888888888,1.2765694770084508,0.5185185185185185,0,449,76,27,0.3036055327692976,0.0,0.07220162101037221,-0.0386819036145688,True,3,0.09883760609611116,6.234084518785297,2.642201817104082,4.0
121,0.20068857859416772,0.8888888888888888,1.2765694770084508,0.5185185185185185,8,457,35,75,0.18996912323919887,0.0,0.051454290848904155,-0.026729005075607184,True,5,0.08782858540779204,7.539991855188341,3.193163881923647,4.0
296,0.26376454576600683,0.8888888888888888,1.2765694770084508,0.5185185185185185,-20,429,31,5,0.4091379437992719,0.0,0.054812569636747216,-0.05107149581931524,True,3,0.08382790388538947,8.042340859061914,2.4552950402134632,4.0
193,0.15075759056673077,0.8888888888888888,1.3052600138300812,0.5185185185185185,-16,433,22,81,0.27132980298797954,0.0,0.04607069313593259,-0.036274318066330226,True,4,0.12692680891307317,6.353012005462879,2.3908423576193067,4.0
263,0.18810365211561725,0.8888888888888888,1.3608276348795434,0.5185185185185185,-22,427,50,54,0.3232617316354666,0.0,0.06623470797154811,-0.03722620868405229,True,3,0.12343554011892398,7.1906524548975135,3.8364214184431216,4.0
18,0.2173537842236872,0.9259259259259259,1.7105338131489614,0.4074074074074074,11,460,63,35,0.24839793819367748,0.0,0.06551670790665513,-0.03623560959367392,True,2,0.10180217640805843,6.219593049492254,2.9296715679391525,4.0
157,0.2507549271820357,0.9259259259259259,1.7320508075688772,0.4074074074074074,19,468,28,53,0.2557114758497646,0.0,0.048354446113695264,-0.033645300169773344,True,2,0.10560488770088113,5.256728702014133,2.1146557869312996,4.0
